Structure [idcode]	dwInChI	dwInChI-Key	
elQXJH@HbLnkhPHcHhhheDiideEUDieDdVEC@hdjacg`TXHB`HBXJHJ``HaBYGP@	InChI=1S/C28H22ClNO5/c1-34-27-17(11-14-7-8-20-16(9-10-30-20)23(14)25(27)29)18-12-19-21(31)13-22(32)24(19)26(33)28(18)35-15-5-3-2-4-6-15/h2-12,21-22,30-33H,13H2,1H3/t21-,22+/m1/s1	CIRZDEMSYNVJOF-YADHBBJMSA-N	
fbm`P@C@PIVQSQQQQQiIJVg^SehBbIh@@@@	InChI=1S/C15H11NO4/c17-11-5-6-12(18)14(15(19)20)13(11)10-7-8-3-1-2-4-9(8)16-10/h1-7,16-18H,(H,19,20)	QQOUIAKDHNLWTB-UHFFFAOYSA-N	
eghXF@@B@DEmckdfyVuUUYUv[`SPspKJih@Jh@@bjY`@@@	InChI=1S/C23H19NO6/c1-11-16(3-5-21(25)26)18-8-14-10-20-12(2-4-19(24-20)23(29)30)6-13(14)7-15(18)9-17(11)22(27)28/h2,4,7-9H,3,5-6,10H2,1H3,(H,25,26)(H,27,28)(H,29,30)	KUESEUGGKNWSLB-UHFFFAOYSA-N	
eg`XJ@@L@DHaidfUfUWmUmowQrssIij`@@@`hfj`@@@	InChI=1S/C24H25NO5/c1-3-14-28-19-9-11-20(12-10-19)30-24(27)25-18-8-13-21-17(16-18)6-5-7-22(21)23(26)29-15-4-2/h5-13,16H,3-4,14-15H2,1-2H3,(H,25,27)	VCDQGSREYMYLJJ-UHFFFAOYSA-N	
fjm`P@L@PGNQSIQQQIIIJjMyKU@QCUUBBAd	InChI=1S/C16H19NO4/c1-3-4-10-7-15(18)12-6-5-11(21-2)8-13(12)14(10)9-17-16(19)20/h3-5,7,17-18H,6,8-9H2,1-2H3,(H,19,20)	BGLONFZSCZBKOL-UHFFFAOYSA-N	
fi{A`@@HJdrrrl{^tjkNCt[TDA@QAT@@@@	InChI=1S/C22H24O3/c1-4-5-13-25-21(23)18-12-8-11-17-19(18)14-15-9-6-7-10-16(15)20(17)22(2,3)24/h6-12,14,24H,4-5,13H2,1-3H3	WFGKBMSBLKBUHA-UHFFFAOYSA-N	
eg`TIH@MHhDLBFEIem`OCIILYhhmeEDeDeiTYYeTTtuSA@PPQUMPH@@	InChI=1S/C18H17N2O9P/c1-3-28-17(23)12-7-10(14-11(15(12)21)6-8(2)19-14)13-5-4-9(16(22)20-13)18(24)29-30(25,26)27/h4-7,19,21H,3H2,1-2H3,(H,20,22)(H2,25,26,27)	XCIHXEIWTOSQOM-UHFFFAOYSA-N	
ek`\L@@DNA`FLdfUe]YYymUyEDfjaecfjfjjPXJJiaPtcR@@	InChI=1S/C23H25N3O3/c1-4-8-19(27)26-23-25-16(5-2)22(29-23)15-12-11-14-9-7-10-17-20(14)21(15)18(13-24-17)28-6-3/h5,7,9,11-15H,2,4,6,8,10H2,1,3H3,(H,25,26,27)/t14-,15-/m1/s1	AFJLISYPXVYLSR-HUUCEWRRSA-N	
fdeQ`@DX@rJSJskJSbm^C@DUUSPrIHL@@	InChI=1S/C13H14N2O3/c1-6-4-10-11(12(17)15-13(18)14-10)8-3-2-7(16)5-9(6)8/h2-3,7-8,16H,4-5H2,1H3,(H2,14,15,17,18)/t7-,8-/m0/s1	CBGLJDCPGJRIJT-YUMQZZPRSA-N	
figH`@KQ[tBDfyYYye][EHp_YKUjfhFBdjjaqbT`T@	InChI=1S/C19H20N4O2/c1-9-8-22-17-11-5-2-6-12(18(24)25)15(11)16-10(14(9)17)4-3-7-13(16)23-19(20)21/h2-4,6-8,12,14-15,22H,5H2,1H3,(H,24,25)(H4,20,21,23)/t12-,14-,15-/m0/s1	XFVYGNXFCQUTMS-QEJZJMRPSA-N	
ehVXL@@C@F@\bbbbbabfRbRVTjVaxT\rRzjVfvn^jjjh@``bA@j`abAHSBDRaYP@	InChI=1S/C29H31NO3/c1-2-4-16-9-13-23(32)29(33)25(16)27-22-10-8-17-6-7-18(15-31)19-11-12-20(26(22)24(17)19)21-5-3-14-30-28(21)27/h3,5-8,10-12,14,16,20,23,25,27,29,31-33H,2,4,9,13,15H2,1H3/t16-,20+,23-,25+,27-,29-/m0/s1	PYXRJUBEJSIUPZ-JBJZVKTOSA-N	
flu@b@K^@DYHddhhddhY`gIFCU@AATT@@@	InChI=1S/C16H18O2S/c1-9(2)6-11-13-8-19-7-12(13)10-4-3-5-14(17)15(10)16(11)18/h3-5,9,17-18H,6-8H2,1-2H3	GFHMHXBALMJEPE-UHFFFAOYSA-N	
fnc@P@@H|GHhddheEEEEkkQsUjjBHfJiD@@	InChI=1S/C19H22O4/c1-2-6-14-11-12-15-7-3-4-8-16(15)17(14)13-23-19(22)10-5-9-18(20)21/h2-4,11-12H,1,5-10,13H2,(H,20,21)	HMNYCLVZLKBZCT-UHFFFAOYSA-N	
fcoHP@GYJLBNVrJZIQSIJKPqEJIBexJ}mMUPTEMUM@hhfP@	InChI=1S/C20H24N4O4/c21-20(22)24(9-3-5-13-4-2-8-23-13)16-7-1-6-14-12(11-25)10-15(19(27)28)18(26)17(14)16/h1-2,4,6-8,10,12,18,23,25-26H,3,5,9,11H2,(H3,21,22)(H,27,28)/t12-,18+/m1/s1	UZMUPFCOVWHVFI-XIKOKIGWSA-N	
elVXA@@A`DELfkgolbbTTbbTRttRfbt\RULRjvFVaQZfjiBf`jdF`Ha@a^P@	InChI=1S/C26H25NO8/c1-3-26(12-13(2)28,18-11-8-14-6-4-5-7-15(14)21(18)29)35-25(34)17-10-9-16-19(22(17)30)20(24(32)33)27-23(16)31/h4-11,13,27-31H,3,12H2,1-2H3,(H,32,33)/t13-,26-/m0/s1	OBAZEDABPAWQIG-NRRJATNASA-N	
ehXXNL@FKO@jakg`H`bHtdLbbbfbVTtvRTVbrTQxD`bBjYfjjjfhPrST`B`	InChI=1S/C22H28Cl2FNO7/c1-2-3-4-5-6-9-33-19(32)11-13-10-14(25)22(21(24)20(13)23)26-17(29)8-7-15(27)16(28)12-18(30)31/h7-8,10,15-16,27-28H,2-6,9,11-12H2,1H3,(H,26,29)(H,30,31)/t15-,16-/m0/s1	YFSKFCNXSSZLKP-HOTGVXAUSA-N	
el\XC@@I`DGO@dfnamhT\bfRbbRbtUfbbeTrRTTtZXBBiijYijjaBQYRCB@	InChI=1S/C22H25NO12/c24-12-6-7-13(11(9-12)5-8-18(29)30)14(21(32)33)10-15(25)19(22(34)35)20(31)23-16(26)3-1-2-4-17(27)28/h5-9,14,17,19,24,27-28H,1-4,10H2,(H,29,30)(H,32,33)(H,34,35)(H,23,26,31)/t14-,19-/m1/s1	FCCNAMZMUJNMHK-AUUYWEPGSA-N	
fmaB@FzADYEEDhihdleCDdbpU`~RwlupD@D@DPR@A@@@	InChI=1S/C24H16ClNO/c25-20-9-7-19-18(15-4-2-1-3-5-15)8-11-22(27)24(19)23(20)17-6-10-21-16(14-17)12-13-26-21/h1-14,26-27H	QGBDJLGBTITQCU-UHFFFAOYSA-N	
fj}Aa@KYJBlCDYEEEEECeD\hrRcV]@A@QMTpP@@	InChI=1S/C16H12ClIO3/c1-8-2-3-9-6-11(17)16-14(13(9)15(8)18)10(7-21-16)4-5-12(19)20/h2-3,6-7H,4-5H2,1H3,(H,19,20)	JSJRZFYCBCDPBS-UHFFFAOYSA-N	
elRTK@@LO@DFMGDbaco`XT\bbRbfTRfbrbRfeftTlbZVZi`hFBhIbZY`@@@	InChI=1S/C20H16N2O13/c1-34-10-5-9(16(28)14-8(10)3-2-7(15(14)27)4-12(24)25)21-20(33)35-13(26)6-11(23)22-18(30)17(29)19(31)32/h2-3,5,27-28H,4,6H2,1H3,(H,21,33)(H,24,25)(H,31,32)(H,22,23,30)	CAFDZXNELAKLBQ-UHFFFAOYSA-N	
fmo`P@G@Pf^QSJJJJIIJsZIJRl{t\cVuAA@RDPAA@@@	InChI=1S/C22H17NO4/c24-15-4-2-6-17(12-15)27-16-5-1-3-14(11-16)18-7-8-21-19(9-10-23-21)20(18)13-22(25)26/h1-12,23-24H,13H2,(H,25,26)	FHXDGUDAWLQDKC-UHFFFAOYSA-N	
fj}Pb@BEuXDPdsJnsJolDYvRpPPDQD@@@@	InChI=1S/C16H15ClN2O2/c1-18-14-7-11-10(6-13(14)17)15(20-2)9-4-5-19-8-12(9)16(11)21-3/h4-8,18H,1-3H3	SZUWTZHWFJLJBF-UHFFFAOYSA-N	
fns`P@B`PsVQSQQIHjIJI[BTFIZmAAE@ATpP@@	InChI=1S/C18H17NO4/c1-10-6-14(8-12-7-11(2)19-17(10)12)23-13-4-5-16(22-3)15(9-13)18(20)21/h4-9,19H,1-3H3,(H,20,21)	CUDSLUUWZIEIQI-UHFFFAOYSA-N	
figaA@DCADMdLbbRRTrTRTbbcIPTcVKvff`@`jJJ`aR@@	InChI=1S/C21H21ClFNO/c1-21(2,3)20-12-5-7-17-15(9-18(22)24-17)14(12)8-13-11(10-25)4-6-16(23)19(13)20/h4,6-9,15,24-25H,5,10H2,1-3H3/t15-/m0/s1	YQMDHEAWJXFXJX-HNNXBMFYSA-N	
fbuQ`@BJ@bJS]rljkLm^RuPAAAQACD@@	InChI=1S/C15H18N2O3/c1-3-17-11-7-10(14(16)15(19)20)6-9-4-8(2)5-12(18)13(9)11/h4-7,14,17-18H,3,16H2,1-2H3,(H,19,20)/t14-/m0/s1	PZAZZDJFYMBWLA-AWEZNQCLSA-N	
ff}@`@@HrJZJIQEIYQIBdVkPDEUT@@@@@	InChI=1S/C20H24O2/c1-2-9-17-13-8-15-19(20(21)22)18(17)14-7-6-12-16-10-4-3-5-11-16/h3-5,8,10-11,13,15H,2,6-7,9,12,14H2,1H3,(H,21,22)	QFTYRWQQHJFKNW-UHFFFAOYSA-N	
eodXLH@ELai`@cIEEELeECDdhTikDbJIEK@hjjfPXB@jJZjj@@@	InChI=1S/C26H29NO3S/c1-4-16(5-2)9-10-17-11-21-19(7-6-8-20(21)26(28)29)25(22(17)15-30-3)23-12-18-13-27-14-24(18)31-23/h6-8,11-14,16,27H,4-5,9-10,15H2,1-3H3,(H,28,29)	MHWWQGJKSGAIPP-UHFFFAOYSA-N	
fle`R@DbejpHaIe]mnWZL|F@BZZZlP@@	InChI=1S/C13H6ClNO4/c14-10-3-1-9(2-4-10)12(16)19-13(17)11-5-8(6-15)7-18-11/h1-5,7H	PRYUPIMWUWHGIE-UHFFFAOYSA-N	
fikPR@KY|EMPRBSLjnnvvvlyhtAA@EMMMP@@@	InChI=1S/C18H19FN2O4/c1-3-5-16(22)21-18(24)25-17(23)20-14-7-6-12-8-11(4-2)15(19)10-13(12)9-14/h6-10H,3-5H2,1-2H3,(H,20,23)(H,21,22,24)	VNXDFUOAARZNIX-UHFFFAOYSA-N	
fmgaQ@G\EghpRBI@hRHrDRDaDRLaDaDRIQWjmj`hJhjZfhXZP@	InChI=1S/C19H23F2NO5/c1-5-25-10-19(20,21)15-14(11(3)18(24)26-6-2)9-13-7-8-22-16(13)17(15)27-12(4)23/h7-9,11,22H,5-6,10H2,1-4H3/t11-/m1/s1	UDBDVNCQTFDHJV-LLVKDONJSA-N	
elVXF@@C`DGI`X\bfbbTTRbRQVVTbcRfDTt|RjrJZ@@@H@@ijif`@BBz@	InChI=1S/C28H25NO6/c1-28(2,34)22-14-20-16(10-17(22)11-18(29)8-9-24(31)35-3)12-21(27(32)33)25-19-7-5-4-6-15(19)13-23(30)26(20)25/h4-14,30,34H,29H2,1-3H3,(H,32,33)	HLWWPJVBCGIQSY-UHFFFAOYSA-N	
fhiI@@BTtxBSMnkJ{NV\tuSSUJB@d	InChI=1S/C12H14N4O/c1-3-11-13-6-9(15-11)4-5-10-7-14-12(16-10)8(2)17/h4-7H,3H2,1-2H3,(H,13,15)(H,14,16)	MRWPIGVOZGHXCU-UHFFFAOYSA-N	
fegQa@NCCEhHcTQdTTRbbRTTJQTjXHub}`Hbj`ZBbaHTP@	InChI=1S/C19H18Cl2N2O3/c1-3-9-8-23-18-15(9)11(20)7-12(21)17(18)16(19(25)26)10-4-5-13(22-2)14(24)6-10/h4-8,16,22-24H,3H2,1-2H3,(H,25,26)/t16-/m0/s1	HYYYNYPDUJFRTK-INIZCTEOSA-N	
figa`@E@euJ[VywYegfBt[MVch@B@h@@H@@@@	InChI=1S/C21H17NO3/c1-25-15-8-9-17-14(12-22-21(24)19(17)11-15)10-13-4-2-6-18-16(13)5-3-7-20(18)23/h2-9,11-12,23H,10H2,1H3,(H,22,24)	AHYOZARPWGNBEK-UHFFFAOYSA-N	
e`XXJD@KnLiec`HcRHrJJIQQKQPiQHpqFYLBIMPDQUAHMEMMPHTHiP^H	InChI=1S/C24H25Cl2NO5/c1-4-16(23(29)17(24(30)31)13-20(28)27-5-2)21(14-9-7-6-8-10-14)22-18(26)11-15(25)12-19(22)32-3/h4,6-12,17,21H,5,13H2,1-3H3,(H,27,28)(H,30,31)/t17-,21-/m1/s1	BZQFMKIYSDKRJQ-DYESRHJHSA-N	
fcwaH@F`QqIZsWoHheEEEeDdehhuEjwlmPLQEUSULcBJ@@	InChI=1S/C18H17NO9/c20-8-19-13(17(25)26)5-6-14(21)28-18(27)11-7-12(16(23)24)15(22)10-4-2-1-3-9(10)11/h1-2,7-8,13,22H,3-6H2,(H,19,20)(H,23,24)(H,25,26)/t13-/m0/s1	CQMRYCFJFCJZKO-ZDUSSCGKSA-N	
fkwPj@BR`cCMFlF^pAFRRUSJIQEQIZIJECVmSSSUUPAEDOJ@h	InChI=1S/C16H22N2O10S/c1-3-11(27-8-10-4-5-14(26-2)13(19)6-10)9-28-17-12(16(21)22)7-15(20)18-29(23,24)25/h4-6,11,19H,3,7-9H2,1-2H3,(H,18,20)(H,21,22)(H,23,24,25)/t11-/m1/s1	VSWSZQBVMADVNT-LLVKDONJSA-N	
fkaP@M`QFltfufV^Uem[UFmxYvj@@BJBXJ`BAT@	InChI=1S/C23H23NO5/c1-13(25)21-18(26)11-17-14(8-10-20(28)29)7-9-16(19(27)12-24)23(17)22(21)15-5-3-2-4-6-15/h2-7,9,11,13,25-26H,8,10,12,24H2,1H3,(H,28,29)/t13-/m1/s1	URIKPZPZNMYCBN-CYBMUJFWSA-N	
edRZNDHLNHbjhDFAikhP@crPbgIICieDeLlhhleCEElYXTu|BmSP@USTtpPDP@@@	InChI=1S/C20H20FN5O7S/c1-34(32,33)25-20(31)22-12-2-5-15(21)11(8-12)6-7-26-10-17(29)23-19(26)24-18(30)14-4-3-13(27)9-16(14)28/h2-5,8-10H,6-7H2,1H3,(H6,22,23,24,25,27,28,29,30,31)/p+1	AVBSLWJSZKWFHM-UHFFFAOYSA-O	
edZTBD@JknMON`HbpHrJJIQQIQEYKQQQYKFLRJNS[WOP@PEQUUMUTu@tAT@@	InChI=1S/C26H31ClN2O4S/c1-16(2)4-6-18(30)15-34-22-8-7-19-24(20(27)14-21(31)25(19)32-3)26(22)33-13-10-17-5-9-23-28-11-12-29(17)23/h5,7-9,11-12,14,16,18,28,30-31H,4,6,10,13,15H2,1-3H3/t18-/m0/s1	XKUTWKJOPMDJOZ-SFHVURJKSA-N	
fle`P@H`QIrS\rskvbuEKPPRUMI@aI@	InChI=1S/C14H13NO4/c1-19-13(6-9-4-5-15-8-9)12-7-10(16)2-3-11(12)14(17)18/h2-8,15-16H,1H3,(H,17,18)	KYKURYQJYCBAIO-UHFFFAOYSA-N	
fikQS@L}pRJR`bCACYCHeLeEDhheHhm]^]Vfh@HBVbh@@@	InChI=1S/C15H16ClFN2O5S/c1-23-12-4-11(17)10-3-8(6-18)2-9(7-24-13(20)5-16)14(10)15(12)25(19,21)22/h2-4H,5-7,18H2,1H3,(H2,19,21,22)	TVCIUOCDDUIUFE-UHFFFAOYSA-N	
e`\PJB@Lckgo`HaRH\bFhcHhhhhhdeBldieehhpIiyYEuM@@A@QAQDTs@@@@	InChI=1S/C23H14Cl4O5/c24-15-8-16(28)10(2-1-3-17(29)30)18-19(15)22(27)14-7-12-9(6-13(14)21(18)26)4-5-11(20(12)25)23(31)32/h4-8,28H,1-3H2,(H,29,30)(H,31,32)	BDFHOWWRCWJYCQ-UHFFFAOYSA-N	
fe{@``AsADBdIRCiCHhdhYBhhbhdiiQe^p@USTl@Pp@Pi}@	InChI=1S/C20H14ClF3O2/c1-13(22)16(9-8-14-4-2-5-15(10-14)19(25)26)12-20(23,24)17-6-3-7-18(21)11-17/h2-12H,1H2,(H,25,26)	MEBCTRCFGHLQMH-UHFFFAOYSA-N	
fbmaP@I@PyN\bfbbTRrRJ`eRuxKPDPaALP@@	InChI=1S/C14H9NO5/c16-11-5-9-10(14(19)20)3-6-1-2-7(13(17)18)4-8(6)12(9)15-11/h1-5,15-16H,(H,17,18)(H,19,20)	VOQSBQFTROSBKC-UHFFFAOYSA-N	
fkoAj@HHqsVQsWlx@cIIKEDeDUELeheEIF}EZBB`BJjef@@@	InChI=1S/C17H16O11S/c1-28-15-11(29(25,26)27)5-9-7(6-19)4-10(13(16(21)22)17(23)24)8(2-3-18)12(9)14(15)20/h3-5,13,19-20H,2,6H2,1H3,(H,21,22)(H,23,24)(H,25,26,27)	DQRCUQATEGNWAH-UHFFFAOYSA-N	
fik@H@@HYYr^crJZJKQIQKFYIPToAZZj`XIjfBGH@	InChI=1S/C17H16O8/c18-12(19)6-3-7-13(20)25-17(24)14-10-5-2-1-4-9(10)8-11(15(14)21)16(22)23/h1-2,4-5,14,21H,3,6-8H2,(H,18,19)(H,22,23)/t14-/m1/s1	GJXBWVNJZHYGAF-CQSZACIVSA-N	
fbu`R@NLt{HHcHdhhidhddTITTuAAEUTqHdhh@	InChI=1S/C14H18ClNO4/c1-20-12-11(8-3-2-4-9(17)7-8)10(5-6-15)13(18)16-14(12)19/h2,4,8-9,17H,3,5-7H2,1H3,(H2,16,18,19)/t8-,9-/m1/s1	SBIJEZOYKNPZCM-RKDXNWHRSA-N	
elZTAH@BidlnckghTPHcHhheELddeeMeCDhiUFNCOGHhB@@@HfijfZXB@Y@@	InChI=1S/C24H19ClN2O8/c1-26-22(31)15-10-14-13(7-8-16(25)20(14)12-5-3-2-4-6-12)9-17(15)35-24(34)21(23(32)33)27-18(28)11-19(29)30/h2-10,21H,11H2,1H3,(H,26,31)(H,27,28)(H,29,30)(H,32,33)/t21-/m1/s1	JYOAHWVLXOOUNA-OAQYLSRUSA-N	
ffcAP@@HlGJS\rsZmlbeitRm@PUUUUBxxcKr@@	InChI=1S/C17H18O5/c1-8-7-10-11(18)4-3-9(17(20)21)15(10)16-13(22-2)6-5-12(19)14(8)16/h3-6,12-13,16,18-19H,7H2,1-2H3,(H,20,21)/t12-,13-,16+/m1/s1	IRDBAAVSIFIGBM-IOASZLSFSA-N	
fbu@P@@HdgHieDeDcDedIPXmPAE@AP@@@	InChI=1S/C16H16O4/c1-11-7-12(10-16(17)18)9-15(8-11)20-14-5-3-13(19-2)4-6-14/h3-9H,10H2,1-2H3,(H,17,18)	RMZPDDQWRUZCSU-UHFFFAOYSA-N	
elZ\N@@DehPDFHlimlbfbbbVRTLTvTTTTvRDtnAaQZBBbZVj`ZBbP`HOH	InChI=1S/C25H25N3O7/c1-4-35-20-10-13(2)9-14(22(20)25(33)34)11-16(19(30)12-21(31)26-3)24(32)28-23-15-7-8-27-17(15)5-6-18(23)29/h4-10,27,29-30H,1,11-12H2,2-3H3,(H,26,31)(H,28,32)(H,33,34)	XIWZSCIWDWNJDF-UHFFFAOYSA-N	
fbuPb@Hiux@QdbbRTrbrbJlENZZhJBbhPPP`	InChI=1S/C15H20N2O2S/c1-4-6-11(5-2)20-8-10-7-12-13(17-9-16-12)14(18)15(10)19-3/h5,7,9,18H,4,6,8H2,1-3H3,(H,16,17)	HOWVQFDEXVACQE-UHFFFAOYSA-N	
fncPp@DX@QvRuRY^YYVw[TZwfjhDbJijHT`@	InChI=1S/C15H18N2O6/c1-22-7-9-3-8(14(18)19)4-12-11(9)5-10(23-2)6-13(12)16-15(20)17-21/h3-4,6,13,21H,5,7H2,1-2H3,(H,18,19)(H2,16,17,20)/t13-/m1/s1	VRSZEDUXTMXAGI-CYBMUJFWSA-N	
fegab@KIjLD`drnrns[lkQfcIs@A@ATtuUAPK@@	InChI=1S/C21H22FNO3/c1-3-25-21(13-24)20-12-19(14-26-20)23(2)18-10-6-16(7-11-18)15-4-8-17(22)9-5-15/h4-12,14,21,24H,3,13H2,1-2H3/t21-/m0/s1	MPGJGFWZUWENJE-NRFANRHFSA-N	
ff}@b@@qAHYEEDhdeeEDeVRKVBAbjAh@@@@	InChI=1S/C19H19FO2/c1-2-6-14-9-10-17(18(20)12-14)16(13-19(21)22)11-15-7-4-3-5-8-15/h3-5,7-12H,2,6,13H2,1H3,(H,21,22)	GLJPDLZDWYJZJR-UHFFFAOYSA-N	
fmgPq@BVDhw`eADNBLbbbRffvTabbrtYIoXHJFjVB@j@@@	InChI=1S/C17H19ClN2O6S/c1-9(2)10-3-5-12(21)14(7-10)27(25,26)19-8-15(23)20-16-11(18)4-6-13(22)17(16)24/h3-7,9,19,21-22,24H,8H2,1-2H3,(H,20,23)	LWALBGFMPGMGMY-UHFFFAOYSA-N	
fjuAI@HHpZs`yJ@HyHYIIXhldhULiIRtDASSS@@@	InChI=1S/C10H7FO9S/c11-5-2-6(12)4(1-7(5)21(17,18)19)10(16)20-9(15)3-8(13)14/h1-2,12H,3H2,(H,13,14)(H,17,18,19)	LZLAOSHLHPLULZ-UHFFFAOYSA-N	
feg`R@NJrWhHcHhheDdeDmEBcLpQ`mG@PEAT@pQ@Pe@@	InChI=1S/C20H18ClNO4/c1-25-13-6-3-5-12(9-13)15(20(23)24)10-16-17(21)11-18(26-2)14-7-4-8-22-19(14)16/h3-9,11,15H,10H2,1-2H3,(H,23,24)/t15-/m0/s1	XIKHESMZAUERDD-HNNXBMFYSA-N	
fbma`@M@X[IEDheLeDXbKW`isPT@DPUA@@@	InChI=1S/C16H17NO3/c18-14-9-17-16(19)8-15(14)20-10-12-6-3-5-11-4-1-2-7-13(11)12/h3,5-6,8-9,18H,1-2,4,7,10H2,(H,17,19)	NRLVASNYZWVQSZ-UHFFFAOYSA-N	
ff}HP@DX\dD\eRYyef}ynVcNZjAHbfZbAD@	InChI=1S/C14H16N4O4/c1-16-13(21)12-8(5-10(19)20)11-7(6-17-12)3-2-4-9(11)18-14(15)22/h2,4,6,9H,3,5H2,1H3,(H,16,21)(H,19,20)(H3,15,18,22)/t9-/m0/s1	KYPWMCSPFSKAFJ-VIFPVBQESA-N	
fnsQ`@NQ@ajS[JjroOHiF\FKT@@@@UR@@@	InChI=1S/C18H16N2O3/c1-10(2)18-13-3-4-16-15(14(13)7-12(9-21)20-18)5-11(8-19-16)6-17(22)23/h3-5,7-10H,6H2,1-2H3,(H,22,23)	MOXFLTSGYWRKQV-UHFFFAOYSA-N	
fmgxP@DXtwlu`DjnQQIQQQSEISJUJZLGKULuAAQSMPBEX	InChI=1S/C16H21N7O4/c1-2-3-7-10(24)19-16(27)21-12-8-5-4-6-9(11(8)20-14(12)26)13(25)22-23-15(17)18/h4-6,20,26H,2-3,7H2,1H3,(H,22,25)(H4,17,18,23)(H2,19,21,24,27)	AXJHARBFHPOSNA-UHFFFAOYSA-N	
fnsPb@FNUxDQdTTRbtTVbUaSIFBgLD@DEQULCBJQbEP	InChI=1S/C18H17ClN2O2/c1-2-4-10-5-3-6-11-12(10)7-15(22)18(23)17(11)13-8-16(20)21-9-14(13)19/h2-5,7-10,22-23H,6H2,1H3,(H2,20,21)/t10-/m0/s1	GSYWANJPICUDRU-JTQLQIEISA-N	
fek`a@HyJCDuDYEEDhidjhlideF\`HJjfjZjbEIBt@	InChI=1S/C21H31BrClNO2/c1-6-17-19(23)10-9-18(22)20(17)16(5)8-7-15(4)13-24-21(25)26-12-11-14(2)3/h7,9-10,14,16H,6,8,11-13H2,1-5H3,(H,24,25)/t16-/m1/s1	IENKHFBBJPNHRD-MRXNPFEDSA-N	
fj}@b@DeAHYEEMDhmCLeDIVkQsR@@D@DP@@@	InChI=1S/C18H13FO2/c1-11(19)15-4-2-7-18-16(5-3-6-17(15)18)12-8-13(20)10-14(21)9-12/h2-10,20-21H,1H2	PALXRRRFCTXXMO-UHFFFAOYSA-N	
elZXF@@N`D@lm`TfyeW^YyvU{VqIDbohV`HFhHHij`BH@ABQZP	InChI=1S/C28H29NO6/c1-4-7-18-11-10-17(13-23(18)28(33)34)12-19-14-24(22(5-2)27(32)26(19)31)25(16-30)29-20-8-6-9-21(15-20)35-3/h4,6-11,13-15,30-32H,5,12,16H2,1-3H3,(H,33,34)	RRXVKWJNFXUMNH-UHFFFAOYSA-N	
fkwPs@@}L{r\uADDbFQFQQQSPiQSRsJYII\EADESMSSTuDKR@t	InChI=1S/C18H19Cl3N2O6/c1-2-3-4-5-23-8-13(26)29-18(28)16(22)17(27)10-6-11(19)15(21)14(20)9(10)7-12(24)25/h4-6,16,23H,2-3,7-8,22H2,1H3,(H,24,25)/t16-/m1/s1	HBJAKVACKLOKEM-MRXNPFEDSA-N	
edZPI@@@DNIEO@kh\bbTTTVLTTQbfTRTVnQSTrsqpKUSMPLPUUSThlQaDeUAd@@	InChI=1S/C25H20O9/c26-11-18-13-3-1-2-4-14(13)22-12(5-6-16-19(27)8-7-15(18)23(16)22)9-17(24(31)32)25(33)34-21(30)10-20(28)29/h1-8,11,14-15,17,19,27H,9-10H2,(H,28,29)(H,31,32)/t14-,15+,17+,19+/m0/s1	PCIFNKQQGHIEFU-BUIAKZPTSA-N	
fi{@P@@HIgHiidhhheHehtcNSghvjhBHjh@BHXP@	InChI=1S/C21H24O4/c1-21(2,15-6-4-3-5-7-15)18-10-8-14-12-25-13-17(14)16(18)9-11-19(22)20(23)24/h3-8,10,19,22H,9,11-13H2,1-2H3,(H,23,24)/t19-/m1/s1	FDIROJHWMGUFRC-LJQANCHMSA-N	
ehX\NH@IFkeDjnamo`ICHhdidhlhdeEMEkMMJFH@JfifjYjZfHCdaY^P	InChI=1S/C22H26FN3O7/c1-3-13(22(32)33)4-7-18(29)17-6-5-15(23)8-14(17)10-25-16(11-27)9-19(30)26-21(31)20(24)12(2)28/h4-6,8-9,20,25,27H,3,7,10-11,24H2,1-2H3,(H,32,33)(H,26,30,31)/t20-/m1/s1	HBCBDJRVEBDZKD-HXUWFJFHSA-N	
ehZTD@@MD`DLbbRRbTRRbrRRJTVtlb|BjZzFvnZj`hJbB`jjXDXIh@@	InChI=1S/C29H32N2O2/c1-4-5-6-10-27(32)33-17-21-15-25-22(11-12-30-25)28-24-14-20-9-7-8-19(13-18(2)3)23(20)16-26(24)31-29(21)28/h7-8,11-12,14-16,19,30-31H,2,4-6,9-10,13,17H2,1,3H3/t19-/m0/s1	MCMSDUPBRMTORR-IBGZPJMESA-N	
fegPR@IJHZtpQFQQQSIHsJJIHiI`iJrVBBIf`HJiH@@	InChI=1S/C19H17ClN2O4/c20-17-14-11-21-22-18(14)13(10-15(17)24)19(25)26-16-8-4-3-7-12(16)6-2-1-5-9-23/h3-4,7-11,24H,1-2,5-6H2,(H,21,22)	CLVRDOBDWYLQPI-UHFFFAOYSA-N	
fk`p@G@QEnsiMsKKL|v~oZ\Fn^mTD@@DDQTpDLP@	InChI=1S/C22H21NO6/c1-12-8-18-16(11-20(12)29-2)14(6-7-23-18)17(22(27)28)10-15-13(9-21(25)26)4-3-5-19(15)24/h3-8,11,17,24H,9-10H2,1-2H3,(H,25,26)(H,27,28)/t17-/m1/s1	XYFSIWRIOVLHIL-QGZVFWFLSA-N	
